"Rep","time","mintime","chainlength","gaplength","from","to","step","time_adj"
"Chain5",620,0,83.09023027346,10.3433497618145,620,630,63,620
"Chain5",630,0,81.112219163631,12.5686122603722,630,640,64,630
"Chain5",640,0,83.6671501804935,12.2389437420673,640,650,65,640
"Chain5",650,0,86.7990011043895,10.2609326322383,650,660,66,650
"Chain5",660,0,86.222081197356,12.8982807786771,660,670,67,660
"Chain5",670,0,92.4033659155719,11.0851039280004,670,680,68,670
"Chain5",680,0,86.7990011043895,16.6070516096065,680,690,69,680
"Chain5",690,0,87.6231724001516,15.5356289251158,690,700,70,690
"Chain5",700,0,97.925313597178,6.38732754215635,700,710,71,700
"Chain5",710,0,102.128587205565,7.21149883791847,710,720,72,710
"Chain5",720,0,92.1561145268433,20.0685710518074,720,730,73,720
"Chain5",730,0,95.0407140620107,16.9367201279114,730,740,74,730
"Chain5",740,0,102.128587205565,9.84884698435723,740,750,75,740
"Chain5",750,0,105.013186740732,9.43676133647617,750,760,76,750
"Chain5",760,0,105.590106647766,10.1785155026621,760,770,77,760
"Chain5",770,0,108.227454794204,9.10709281817134,770,780,78,770
"Chain5",780,0,108.474706182933,11.0026867984242,780,790,79,780
"Chain5",790,0,104.353849704123,15.3707946659634,790,800,80,790
"Chain5",800,0,97.3483936901445,22.3762506799413,800,810,81,800
"Chain6",0,0,30.3005737704918,12.3497540983607,0,10,1,0
"Chain6",10,0,30.3415573770492,12.0081967213115,10,20,2,10
"Chain6",20,0,33.3743442622951,9.22131147540983,20,30,3,20
"Chain6",30,0,29.6858196721312,17.7459016393443,30,40,4,30
"Chain6",40,0,33.1284426229508,14.8770491803279,40,50,5,40
"Chain6",50,0,32.390737704918,15.5327868852459,50,60,6,50
"Chain6",60,0,35.2595901639344,13.155737704918,60,70,7,60
"Chain6",70,0,42.9645081967213,10.2868852459016,70,80,8,70
"Chain6",80,0,48.8661475409836,7.90983606557377,80,90,9,80
"Chain6",90,0,49.3579508196721,10.6147540983607,90,100,10,90
"Chain6",100,0,56.407131147541,7.82786885245902,100,110,11,100
"Chain6",110,0,56.407131147541,12.0901639344262,110,120,12,110
"Chain6",120,0,54.8497540983607,16.1885245901639,120,130,13,120
"Chain6",130,0,58.4563114754098,13.155737704918,130,140,14,130
"Chain6",140,0,54.9317213114754,19.6311475409836,140,150,15,140
"Chain6",150,0,56.4890983606557,18.0737704918033,150,160,16,150
"Chain6",160,0,62.6366393442623,13.4016393442623,160,170,17,160
"Chain6",170,0,64.1940163934426,12.5,170,180,18,170
"Chain6",180,0,64.5218852459016,13.8934426229508,180,190,19,180
"Chain6",190,0,67.390737704918,12.5,190,200,20,190
"Chain6",200,0,69.8497540983607,13.4836065573771,200,210,21,200
"Chain6",210,0,81.3251639344262,9.30327868852459,210,220,22,210
"Chain6",220,0,82.390737704918,16.516393442623,220,230,23,220
"Chain6",230,0,87.2268032786885,11.5163934426229,230,240,24,230
"Chain6",240,0,98.7022131147541,9.71311475409836,240,250,25,240
"Chain6",250,0,100.505491803279,9.71311475409836,250,260,26,250
"Chain6",260,0,102.390737704918,12.5,260,270,27,260
"Chain6",270,0,99.2759836065574,16.1885245901639,270,280,28,270
"Chain6",280,0,91.8169672131148,23.5655737704918,280,290,29,280
"Chain6",290,0,85.0956557377049,30.4508196721311,290,300,30,290
"Chain6",300,0,86.8169672131148,28.5655737704918,300,310,31,300
